word_type,matched,letter_in_main_word,word_wanted,lenth_words
algorithm,9,62,algorithms to live by: the computer science of human decisions,9
e of human decisions,20,62,algorithms to live by: the computer science of human decisions,20
f human decisions,16,36,informatics practices data handaling,17
,0,65,start with why: how great leaders inspire everyone to take action,0
start with why: how great leades inspire everyone to take action,61,132,3d game engine design: a practical approach to real-time computer graphics (the morgan kaufmann series in interactive 3d technology),64
h,1,16,how google works,1
m,1,75,make your own neural network: an in-depth visual introduction for beginners,1
handf on machine lear,21,59,"hands on machine learning with sikit-learn,keras,tensorflow",21
g,1,29,game programming golden rules,1
r,1,44,responsive web design overview for beginners,1
fg,2,19,marvel future fight,2
h,1,16,how google works,1
k,1,75,kingpin: how one hacker took over the billion-dollar cybercrime underground,1
k,1,16,how google works,1
l,1,64,learn java the easy way : a hands-on introduction to programming,1
k,1,75,kingpin: how one hacker took over the billion-dollar cybercrime underground,1
lk,2,16,how google works,2
make,4,28,make your own neural network,4
l,1,113,"linked: how everything is connected to everything else and what it means for business, science, and everyday life",1
k,1,75,kingpin: how one hacker took over the billion-dollar cybercrime underground,1
j,1,26,javascript: the good parts,1
h,1,16,how google works,1
how google work,15,91,the master algorithm: how the quest for the ultimate learning machine will remake our world,15
l,1,113,"linked: how everything is connected to everything else and what it means for business, science, and everyday life",1
" science, and everyday life",27,113,"linked: how everything is connected to everything else and what it means for business, science, and everyday life",27
k,1,75,kingpin: how one hacker took over the billion-dollar cybercrime underground,1
l,1,55,learn you a haskell for great good!: a beginner's guide,1
k,1,75,kingpin: how one hacker took over the billion-dollar cybercrime underground,1
ma,2,28,make your own neural network,2
ma,2,28,make your own neural network,2
ma,2,28,make your own neural network,2
make your own neural networ,26,99,a smarter way to learn javascript: the new approach that uses technology to cut your effort in half,27
,0,16,the meme machine,0
p,1,102,python programming books set: python programming for beginners & complete guide for python programming,1
tr.j,4,50,"introductory macroeconomics (t.r. jain , v.k. ori)",4
th,2,21,the elements of style,2
l,1,113,"linked: how everything is connected to everything else and what it means for business, science, and everyday life",1
make,4,28,make your own neural network,4
ja,2,42,sams teach yourself javascript in 24 hours,2
hands,5,59,"hands on machine learning with sikit-learn,keras,tensorflow",5
hand,4,24,python for data analysis,4
ma,2,29,manage your project portfolio,2
hand,4,59,"hands on machine learning with sikit-learn,keras,tensorflow",4
k,1,75,kingpin: how one hacker took over the billion-dollar cybercrime underground,1
make,4,75,make your own neural network: an in-depth visual introduction for beginners,4
i,1,38,introduction to functional programming,1
j,1,26,javascript: the good parts,1
j,1,26,javascript: the good parts,1
ja,2,26,javascript: the good parts,2
l,1,113,"linked: how everything is connected to everything else and what it means for business, science, and everyday life",1
m,1,75,make your own neural network: an in-depth visual introduction for beginners,1
make,4,28,make your own neural network,4
k,1,75,kingpin: how one hacker took over the billion-dollar cybercrime underground,1
,0,63,zx spectrum games code club: twenty fun games to code and learn,0
c++,3,10,c++ primer,3
c++,3,10,c++ primer,3
zx,2,63,zx spectrum games code club: twenty fun games to code and learn,2
3d,2,57,mathematics for 3d game programming and computer graphics,2
ma,2,75,make your own neural network: an in-depth visual introduction for beginners,2
make,4,28,make your own neural network,4
mak,3,33,making games with python & pygame,3
trjainvrori,11,50,"introductory macroeconomics (t.r. jain , v.k. ori)",11
x,1,62,xamidea economics (multiple choice questions)term-1 (class-12),1
k,1,75,kingpin: how one hacker took over the billion-dollar cybercrime underground,1
l,1,113,"linked: how everything is connected to everything else and what it means for business, science, and everyday life",1
the,3,16,the meme machine,3
l,1,27,inside the c++ object model,1
,0,62,algorithms to live by: the computer science of human decisions,0
j,1,26,javascript: the good parts,1
l,1,55,learn you a haskell for great good!: a beginner's guide,1
l,1,113,"linked: how everything is connected to everything else and what it means for business, science, and everyday life",1
j,1,26,javascript: the good parts,1
i,1,38,introduction to functional programming,1
ma,2,29,manage your project portfolio,2
make,4,28,make your own neural network,4
hands,5,59,"hands on machine learning with sikit-learn,keras,tensorflow",5
macroeco,8,50,"introductory macroeconomics (t.r. jain , v.k. ori)",8
,0,21,the elements of style,0
make ,5,28,make your own neural network,5
popipppiiii,11,91,build web applications with java: learn every aspect to build web applications from scratch,11
j,1,26,javascript: the good parts,1
j,1,26,javascript: the good parts,1
l,1,55,learn you a haskell for great good!: a beginner's guide,1
o,1,59,optimized c++: proven techniques for heightened performance,1
t,1,21,the elements of style,1
k,1,75,kingpin: how one hacker took over the billion-dollar cybercrime underground,1
ho,2,58,how to create a mind: the secret of human thought revealed,2
ho,2,16,how google works,2
j,1,26,javascript: the good parts,1
juh,3,33,object-oriented design heuristics,3
k,1,75,kingpin: how one hacker took over the billion-dollar cybercrime underground,1
j,1,28,dependency injection in .net,1
l,1,113,"linked: how everything is connected to everything else and what it means for business, science, and everyday life",1
nd everyday life,15,51,php and mysql web development (developer's library),16
php and mysql web development (developer's library),51,51,php and mysql web development (developer's library),51
lo,2,10,algorithms,2
kl,2,28,make your own neural network,2
l,1,113,"linked: how everything is connected to everything else and what it means for business, science, and everyday life",1
j,1,14,reviewing java,1
h,1,68,how to design programs: an introduction to programming and computing,1
c,1,70,cryptography engineering: design principles and practical applications,1
l,1,13,learning ruby,1
h,1,16,hacker's delight,1
i,1,38,introduction to functional programming,1
jar,3,16,joel on software,3
easy guid to learn php,22,81,beginners guide on php programming: quick and easy guide to learn php with my-sql,22
h,1,16,how google works,1
python,6,102,python programming books set: python programming for beginners & complete guide for python programming,6
for python programming,22,102,python programming books set: python programming for beginners & complete guide for python programming,22
u,1,30,unity virtual reality projects,1
lk,2,16,how google works,2
j,1,27,inside the c++ object model,1
y,1,23,your first app: node.js,1
yo,2,23,your first app: node.js,2
j,1,26,javascript: the good parts,1
,0,63,zx spectrum games code club: twenty fun games to code and learn,0
tr ja,5,50,"introductory macroeconomics (t.r. jain , v.k. ori)",5
j,1,26,javascript: the good parts,1
j,1,26,javascript: the good parts,1
ghghh,5,89,nine algorithms that changed the future: the ingenious ideas that drive today's computers,5
make,4,28,make your own neural network,4
j,1,14,reviewing java,1
ui,2,23,computability and logic,2
huh,3,38,the psychology of computer programming,3
f,1,51,fearless change: patterns for introducing new ideas,1
make,4,28,make your own neural network,4
ma,2,28,make your own neural network,2
make,4,28,make your own neural network,4
mak,3,28,make your own neural network,3
ma,2,28,make your own neural network,2
mak,3,28,make your own neural network,3
mak,3,28,make your own neural network,3
mak,3,28,make your own neural network,3
make,4,28,make your own neural network,4
mak,3,28,make your own neural network,3
make,4,28,make your own neural network,4
ma,2,28,make your own neural network,2
make,4,28,make your own neural network,4
ma,2,25,managing data using excel,2
make,4,28,make your own neural network,4
make,4,28,make your own neural network,4
make,4,28,make your own neural network,4
make,4,28,make your own neural network,4
make,4,28,make your own neural network,4
mak,3,75,make your own neural network: an in-depth visual introduction for beginners,3
make your o,11,28,make your own neural network,11
mak,3,28,make your own neural network,3
make your own neural networ,27,66,communication networks: fundamental concepts and key architectures,27
mak,3,28,make your own neural network,3
make,4,28,make your own neural network,4
mak,3,28,make your own neural network,3
make,4,28,make your own neural network,4
make,4,28,make your own neural network,4
make,4,28,make your own neural network,4
make,4,28,make your own neural network,4
make ,5,28,make your own neural network,5
make,4,28,make your own neural network,4
make,4,28,make your own neural network,4
ma,2,28,make your own neural network,2
make y,6,33,making games with python & pygame,6
make,4,28,make your own neural network,4
m,1,28,make your own neural network,1
mark,4,28,make your own neural network,4
make,4,28,make your own neural network,4
make your own neural netwo,26,75,make your own neural network: an in-depth visual introduction for beginners,26
hands,5,59,"hands on machine learning with sikit-learn,keras,tensorflow",5
hands,5,59,"hands on machine learning with sikit-learn,keras,tensorflow",5
ma,2,28,make your own neural network,2
han,3,59,"hands on machine learning with sikit-learn,keras,tensorflow",3
make,4,28,make your own neural network,4
make,4,28,make your own neural network,4
hands,5,59,"hands on machine learning with sikit-learn,keras,tensorflow",5
hand,4,59,"hands on machine learning with sikit-learn,keras,tensorflow",4
keras,5,59,"hands on machine learning with sikit-learn,keras,tensorflow",5
neural ,7,28,make your own neural network,7
ha,2,59,"hands on machine learning with sikit-learn,keras,tensorflow",2
hands on machine lear,21,59,"hands on machine learning with sikit-learn,keras,tensorflow",21
ma,2,28,make your own neural network,2
hands,5,59,"hands on machine learning with sikit-learn,keras,tensorflow",5
ha,2,59,"hands on machine learning with sikit-learn,keras,tensorflow",2
han,3,59,"hands on machine learning with sikit-learn,keras,tensorflow",3
hands ,6,59,"hands on machine learning with sikit-learn,keras,tensorflow",6
make your,9,28,make your own neural network,9
ma,2,28,make your own neural network,2
han,3,59,"hands on machine learning with sikit-learn,keras,tensorflow",3
hand,4,59,"hands on machine learning with sikit-learn,keras,tensorflow",4
hands on m,10,59,"hands on machine learning with sikit-learn,keras,tensorflow",10
hands,5,59,"hands on machine learning with sikit-learn,keras,tensorflow",5
machine learning w,18,59,"hands on machine learning with sikit-learn,keras,tensorflow",18
make,4,28,make your own neural network,4
make ,5,28,make your own neural network,5
hands,5,59,"hands on machine learning with sikit-learn,keras,tensorflow",5
make,4,28,make your own neural network,4
double,6,85,double entry book keeping accounting for not profit organisation and partnership firm,6
double entry book,17,85,double entry book keeping accounting for not profit organisation and partnership firm,17
double,6,85,double entry book keeping accounting for not profit organisation and partnership firm,6
double,6,85,double entry book keeping accounting for not profit organisation and partnership firm,6
infor,5,36,informatics practices data handaling,5
doble entery book ,18,50,double entry book keeping accounting for companies,18
double entry b,14,48,double entry book keeping (finencial accounting),14
dou,3,48,double entry book keeping (finencial accounting),3
double entry book keeping (finencial ,36,50,double entry book keeping accounting for companies,37
double entry book keeping a,27,85,double entry book keeping accounting for not profit organisation and partnership firm,27
dou,3,58,double entry book keeping analysis of finencial statements,3
tr ja,5,50,"introductory macroeconomics (t.r. jain , v.k. ori)",5
macroicnomics tr jan ,21,50,"introductory macroeconomics (t.r. jain , v.k. ori)",21
tr ja,5,50,"introductory macroeconomics (t.r. jain , v.k. ori)",5
dou,3,48,double entry book keeping (finencial accounting),3
make,4,28,make your own neural network,4
double,6,50,double entry book keeping accounting for companies,6
hand,4,59,"hands on machine learning with sikit-learn,keras,tensorflow",4
make,4,28,make your own neural network,4
hands,5,59,"hands on machine learning with sikit-learn,keras,tensorflow",5
hands,5,59,"hands on machine learning with sikit-learn,keras,tensorflow",5
make,4,28,make your own neural network,4
dou,3,85,double entry book keeping accounting for not profit organisation and partnership firm,3
dou,3,50,double entry book keeping accounting for companies,3
double entry book kee,21,48,double entry book keeping (finencial accounting),21
double entry book ,18,58,double entry book keeping analysis of finencial statements,18
hands on ,9,24,python for data analysis,9
hands ,6,59,"hands on machine learning with sikit-learn,keras,tensorflow",6
hands,5,59,"hands on machine learning with sikit-learn,keras,tensorflow",5
dou,3,48,double entry book keeping (finencial accounting),3
double entry book keeping ,26,58,double entry book keeping analysis of finencial statements,26
tr j,4,50,"introductory macroeconomics (t.r. jain , v.k. ori)",4
class,5,23,css: the missing manual,5
photo unuavail,14,65,"the art of computer programming, volume 1: fundamental algorithms",14
make ,5,28,make your own neural network,5
hands,5,59,"hands on machine learning with sikit-learn,keras,tensorflow",5
han,3,59,"hands on machine learning with sikit-learn,keras,tensorflow",3
doub,4,48,double entry book keeping (finencial accounting),4
double entry book keeping,25,58,double entry book keeping analysis of finencial statements,25
double entry book keeping analents,34,85,double entry book keeping accounting for not profit organisation and partnership firm,34
double entry book keeping r,27,50,double entry book keeping accounting for companies,27
hguty,5,38,the psychology of computer programming,5
ut,2,19,marvel future fight,2
dou,3,50,double entry book keeping accounting for companies,3
hand,4,59,"hands on machine learning with sikit-learn,keras,tensorflow",4
rich,4,17,rich dad poor dad,4
rich ,5,17,rich dad poor dad,5
tr ja,5,50,"introductory macroeconomics (t.r. jain , v.k. ori)",5
financial accounting,20,48,double entry book keeping (finencial accounting),20
financial statment,18,58,double entry book keeping analysis of finencial statements,18
jhjh,4,73,effective javascript: 68 specific ways to harness the power of javascript,4
h,1,16,how google works,1
k,1,75,kingpin: how one hacker took over the billion-dollar cybercrime underground,1
langu,5,17,language of maths,5
language of ma,14,35,essentials of programming languages,14
langu,5,17,language of maths,5
mak,3,28,make your own neural network,3
ma,2,28,make your own neural network,2
tr jan,6,50,"introductory macroeconomics (t.r. jain , v.k. ori)",6
make ,5,28,make your own neural network,5
make your on nqatural ,21,75,make your own neural network: an in-depth visual introduction for beginners,22
hnds o mavhine l;earning witk ,28,59,"hands on machine learning with sikit-learn,keras,tensorflow",30
marke yor ,10,28,make your own neural network,10
make,4,28,make your own neural network,4
hands,5,59,"hands on machine learning with sikit-learn,keras,tensorflow",5
